NOME, PALESTRA

Marcelo Martins Borba,  A PALESTRA DE ABERTURA


Leonardo Moura Vilela,  MALHA VIÁRIA URBANA E QUALIDADE DE VIDA


Rosidalva Lopes Feitosa da Paz,  A METEOROLOGIA NA GESTÃO URBANA


Lívia Maria Dias, POLITÍCAS PÚBLICAS DE SANEAMENTO URBANO


Reynaldo Machado Bittencourt, CONCRETO MEIO AMBIENTE E QUALIDADE DE VIDA


Alexandre de Castro Pereira, CONCRETO AUTO-ADENSÁVEL


Marcelo T. Haraguchi, USO DE HIDRÔMETRO INDIVIDUAL EM CONDOMÍNIOS VERTICAIS


Carlos de Oliveira Campos, DIAGNÓSTICO E REPAROS EM ESTRUTURA DE CONCRETO ARMADO


Roberto Montabone, MONOCAPA REVESTIMENTO EXTERNO (LAFIX)


Reginaldo Porto, CONCRETO DOSADO EM CENTRAL (REALMIX)


Dido Gonzaga Jaime, REESTRUTURAÇÃO DA CIDADE DE ANÁPOLIS (PREF. DE ANÁPOLIS)


Marcus Vinícius de Aquino de Souza, FABRICAÇÃO UTILIZAÇÃO E CUIDADOS NECESSÁRIOS COM O CIMENTO (CIMPOR)


Charles Abrenhosa, (SIKA)


.   , (SCHNEIDER)


.   , (IMPERCIA)


